Reference, Value, Footprint,Cnt,Qty,Mfg P/N,Distributor,Distributor P/N,Notes
C101,0.01uf,Capacitors_SMD:C_0603_HandSoldering,1,1,,,,
C108,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C116,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C117,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C104,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C109,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C113,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C114,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C118,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C121,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C103,0.1uf,Capacitors_SMD:C_0603_HandSoldering,1,10,C1608X7R1E104K080AA,Digi-Key,445-1316-1-ND,
C106,1uf,Capacitors_SMD:C_0603_HandSoldering,1,1,GCM188R71E105KA64D,Mouser,81-GCM188R71E105KA4D,
C110,27pf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C111,27pf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C105,27pf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C107,27pf,Capacitors_SMD:C_0603_HandSoldering,1,4,,,,
C102,330pf,Capacitors_SMD:C_0603_HandSoldering,1,,,,,
C119,330pf,Capacitors_SMD:C_0603_HandSoldering,1,2,,,,
C120,6800pf,Capacitors_SMD:C_0603_HandSoldering,1,1,,,,
C112,10uf,Capacitors_SMD:C_0805_HandSoldering,1,,,,,
C115,10uf,Capacitors_SMD:C_0805_HandSoldering,1,2,EMK212BB7106MG-T,Mouser,963-EMK212BB7106MG-T,
P102,DNI,Connect:PINTST,1,,,,,
P103,DNI,Connect:PINTST,1,,,,,
P108,DNI,Connect:PINTST,1,,,,,
P106,DNI,Connect:PINTST,1,,,,,
P104,DNI,Connect:PINTST,1,,,,,
P107,DNI,Connect:PINTST,1,,,,,
P105,DNI,Connect:PINTST,1,7,,,,
U101,TWEAALSANF-28.800000,Crystals:Crystal_SMD_Abracon_ABM3C-4pin_5.0x3.2mm,1,1,,,,
Y101,28.8MHz,Crystals:Crystal_SMD_HC49-SD,1,1,,,,
T101,TRANSFO4,footprints:Pulse_SMD_Balun,1,1,,,,
U102,R820T2,footprints:QFN-24-1EP_4x4mm_Pitch0.5mm_extended_pad,1,1,,,,
J101,SMA,footprints:SMA_END,1,,,,,
J102,SMA,footprints:SMA_END,1,2,,,,
P101,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,1,1,,,,
R111,0,Resistors_SMD:R_0603_HandSoldering,1,,,,,
R105,0,Resistors_SMD:R_0603_HandSoldering,1,2,,,,
R106,10,Resistors_SMD:R_0603_HandSoldering,1,1,,,,
R101,220,Resistors_SMD:R_0603_HandSoldering,1,,,,,
R102,220,Resistors_SMD:R_0603_HandSoldering,1,,,,,
R107,220,Resistors_SMD:R_0603_HandSoldering,1,,,,,
R108,220,Resistors_SMD:R_0603_HandSoldering,1,4,,,,
R112,10k,Resistors_SMD:R_0603_HandSoldering,1,1,,,,
L102,150nh,Resistors_SMD:R_0603_HandSoldering,1,,,,,
L103,150nh,Resistors_SMD:R_0603_HandSoldering,1,2,,,,
R110,1k8,Resistors_SMD:R_0603_HandSoldering,1,1,,,,
R103,4k7,Resistors_SMD:R_0603_HandSoldering,1,,,,,
R104,4k7,Resistors_SMD:R_0603_HandSoldering,1,2,,,,
L101,8.2nH,Resistors_SMD:R_0603_HandSoldering,1,1,,,,
R109,DNI,Resistors_SMD:R_0603_HandSoldering,1,1,,,,
U103,LD1117S33CTR,SOT-223,1,1,,,,
D101,BAV99,TO_SOT_Packages_SMD:SOT-23,1,1,,,,
